Case ID,Activity,Start Date,End Date,Agent Position,Customer ID,Product,Service Type,Resource
Case 116,Inbound Call,8.4.10 9:45,8.4.10 9:47,FL,Customer 101,MacBook Pro,Referred to Servicer,Ton
Case 117,Inbound Call,15.3.10 18:05,15.3.10 18:06,FL,Customer 102,MacBook Pro,Referred to Servicer,Harold
Case 121,Inbound Call,5.3.10 9:27,5.3.10 9:29,FL,Customer 106,iPhone,Product Assistance,Maja
Case 122,Inbound Call,27.3.10 12:50,27.3.10 13:02,FL,Customer 107,iPhone,Product Assistance,Elena
Case 123,Inbound Call,22.3.10 11:10,22.3.10 11:32,FL,Customer 108,iPhone,Product Assistance,Erik
Case 123,Inbound Call,22.3.10 17:05,22.3.10 17:09,FL,Customer 108,iPhone,Product Assistance,Nancy
Case 124,Inbound Call,22.3.10 10:58,22.3.10 11:00,FL,Customer 109,MacBook Pro,Product Assistance,Christian
Case 125,Inbound Call,18.3.10 14:45,18.3.10 14:47,FL,Customer 110,iPhone,Referred to Servicer,Nancy
Case 125,Inbound Call,18.3.10 15:09,18.3.10 15:09,FL,Customer 110,iPhone,Referred to Servicer,Monique
Case 125,Inbound Call,27.3.10 9:16,27.3.10 9:18,FL,Customer 110,iPhone,Referred to Servicer,Irena
Case 126,Inbound Call,20.3.10 9:20,20.3.10 9:24,FL,Customer 111,iPhone,Referred to Servicer,Wil
Case 127,Inbound Call,13.3.10 10:05,13.3.10 10:19,FL,Customer 112,iPhone,Referred to Servicer,Patrick
Case 128,Inbound Call,4.3.10 7:25,4.3.10 7:28,FL,Customer 113,iPhone,Referred to Servicer,Susi
Case 129,Inbound Call,20.3.10 17:40,20.3.10 17:42,FL,Customer 3,MacBook Pro,Product Assistance,Ton
Case 131,Inbound Call,16.3.10 7:53,16.3.10 7:54,FL,Customer 3,MacBook Pro,Product Assistance,Clark
Case 134,Inbound Call,4.3.10 15:19,4.3.10 15:22,FL,Customer 117,MacBook Pro,Referred to Servicer,Karen
Case 135,Inbound Call,28.3.10 11:10,28.3.10 11:15,FL,Customer 118,MacBook Pro,Referred to Servicer,Fred
Case 136,Inbound Call,6.3.10 16:49,6.3.10 16:51,FL,Customer 119,MacBook Pro,Referred to Servicer,Ton
Case 137,Inbound Call,7.3.10 11:03,7.3.10 11:04,FL,Customer 120,MacBook Pro,Referred to Servicer,Mary
Case 137,Inbound Call,25.4.10 16:21,25.4.10 16:22,FL,Customer 120,MacBook Pro,Referred to Servicer,Harold
Case 137,Inbound Call,25.4.10 16:30,25.4.10 16:34,BL,Customer 120,MacBook Pro,Referred to Servicer,Steve
Case 138,Inbound Call,11.3.10 15:38,11.3.10 15:47,FL,Customer 121,iPhone,Product Assistance,Steffi
Case 139,Inbound Call,13.3.10 10:23,13.3.10 10:26,FL,Customer 122,MacBook Pro,Product Assistance,Kenny
Case 141,Inbound Call,14.3.10 11:28,14.3.10 11:31,FL,Customer 124,MacBook Pro,Referred to Servicer,Erik
Case 141,Inbound Call,15.3.10 7:24,15.3.10 7:34,FL,Customer 124,MacBook Pro,Referred to Servicer,Irena
Case 141,Inbound Call,18.3.10 7:18,18.3.10 7:20,FL,Customer 124,MacBook Pro,Referred to Servicer,Henk
Case 144,Inbound Call,25.3.10 12:20,25.3.10 12:23,FL,Customer 127,MacBook Pro,Referred to Servicer,Nancy
Case 144,Inbound Call,25.3.10 12:36,25.3.10 12:39,FL,Customer 127,MacBook Pro,Referred to Servicer,Michael
Case 144,Inbound Call,19.4.10 14:43,19.4.10 14:48,FL,Customer 127,MacBook Pro,Referred to Servicer,Cindy
Case 145,Inbound Call,7.3.10 9:44,7.3.10 9:45,FL,Customer 3,iPhone,Product Assistance,Steffi
Case 147,Inbound Call,28.3.10 8:22,28.3.10 8:25,FL,Customer 129,iPhone,Product Assistance,Johan
Case 149,Inbound Call,23.3.10 15:10,23.3.10 15:12,FL,Customer 131,iPhone,Product Assistance,Monique
Case 150,Inbound Call,27.3.10 17:25,27.3.10 17:29,FL,Customer 132,iPhone,Product Assistance,Harold
Case 151,Inbound Call,5.3.10 9:33,5.3.10 9:34,FL,Customer 133,MacBook Pro,Referred to Servicer,Maja
Case 152,Inbound Call,6.3.10 9:17,6.3.10 9:19,FL,Customer 134,MacBook Pro,Referred to Servicer,Mary
Case 153,Inbound Call,19.3.10 11:25,19.3.10 11:27,FL,Customer 3,MacBook Pro,Product Assistance,Maja
Case 154,Inbound Call,4.3.10 11:17,4.3.10 11:18,FL,Customer 135,MacBook Pro,Referred to Servicer,Wil
Case 155,Inbound Call,9.3.10 10:06,9.3.10 10:12,FL,Customer 136,iPhone,Product Assistance,Harold
Case 156,Inbound Call,15.3.10 15:27,15.3.10 15:46,FL,Customer 137,iPhone,Referred to Servicer,Ton
Case 158,Inbound Call,8.3.10 10:43,8.3.10 10:56,FL,Customer 139,MacBook Pro,Referred to Servicer,Kenny
Case 160,Inbound Call,7.3.10 9:50,7.3.10 9:51,FL,Customer 141,iPhone,Referred to Servicer,Steffi
Case 160,Inbound Call,7.3.10 9:52,7.3.10 9:55,FL,Customer 141,iPhone,Referred to Servicer,Henk
Case 160,Inbound Call,7.3.10 9:59,7.3.10 10:01,FL,Customer 141,iPhone,Referred to Servicer,Jochem
Case 160,Inbound Call,7.3.10 10:01,7.3.10 10:03,FL,Customer 141,iPhone,Referred to Servicer,Jochem
Case 162,Inbound Call,21.3.10 13:24,21.3.10 13:35,FL,Customer 143,iPhone,Referred to Servicer,Ton
Case 163,Inbound Call,18.3.10 15:03,18.3.10 15:09,FL,Customer 144,iPhone,Product Assistance,Clark
Case 165,Inbound Call,25.3.10 17:29,25.3.10 17:32,FL,Customer 3,iPhone,Product Assistance,Clark
Case 166,Inbound Call,30.3.10 9:49,30.3.10 9:50,FL,Customer 146,MacBook Pro,Referred to Servicer,Anne
Case 167,Inbound Call,15.3.10 10:09,15.3.10 10:16,FL,Customer 147,MacBook Pro,Product Assistance,Samuil
Case 169,Inbound Call,5.3.10 10:23,5.3.10 10:27,FL,Customer 149,MacBook Pro,Referred to Servicer,Susi
Case 170,Inbound Call,18.3.10 7:10,18.3.10 7:11,BL,Customer 150,iPhone,Referred to Servicer,Mathias
Case 172,Inbound Call,28.3.10 7:42,28.3.10 7:46,FL,Customer 152,iPhone,Referred to Servicer,Richard
Case 173,Inbound Call,20.3.10 15:18,20.3.10 15:19,FL,Customer 3,iPhone,Product Assistance,Ton
Case 177,Inbound Call,27.3.10 9:07,27.3.10 9:23,FL,Customer 156,MacBook Pro,Referred to Servicer,Elena
Case 179,Inbound Call,23.3.10 9:28,23.3.10 9:31,FL,Customer 3,iPhone,Product Assistance,Erik
Case 180,Inbound Call,20.3.10 15:09,20.3.10 15:15,FL,Customer 158,MacBook Pro,Product Assistance,Ton
Case 181,Inbound Call,6.3.10 11:38,6.3.10 11:39,FL,Customer 3,MacBook Pro,Product Assistance,Henk
Case 182,Inbound Call,7.3.10 8:51,7.3.10 8:55,FL,Customer 159,iPhone,Product Assistance,Richard
Case 183,Inbound Call,7.3.10 8:35,7.3.10 8:37,FL,Customer 160,iPhone,Product Assistance,Wil
Case 184,Inbound Call,18.3.10 8:45,18.3.10 8:47,FL,Customer 161,MacBook Pro,Product Assistance,Maja
Case 185,Inbound Call,19.3.10 16:48,19.3.10 16:48,FL,Customer 162,MacBook Pro,Referred to Servicer,Clark
Case 187,Inbound Call,29.3.10 9:02,29.3.10 9:05,FL,Customer 164,iPhone,Referred to Servicer,Karen
Case 188,Inbound Call,19.3.10 16:00,19.3.10 16:01,FL,Customer 3,MacBook Pro,Product Assistance,Wil
Case 189,Inbound Call,28.3.10 17:23,28.3.10 17:24,FL,Customer 165,iPhone,Referred to Servicer,Monique
Case 189,Inbound Call,28.3.10 17:25,28.3.10 17:25,FL,Customer 165,iPhone,Referred to Servicer,Monique
Case 190,Inbound Call,19.3.10 15:58,19.3.10 15:59,FL,Customer 3,MacBook Pro,Product Assistance,Karen
Case 191,Inbound Call,13.3.10 8:50,13.3.10 8:52,FL,Customer 166,MacBook Pro,Product Assistance,Anne
Case 192,Inbound Call,2.3.10 11:25,2.3.10 11:26,FL,Customer 3,iPhone,Product Assistance,Maja
Case 193,Inbound Call,23.3.10 10:40,23.3.10 10:41,FL,Customer 167,MacBook Pro,Product Assistance,Henk
Case 195,Inbound Call,18.3.10 16:24,18.3.10 16:38,FL,Customer 169,iPhone,Referred to Servicer,Harold
Case 196,Inbound Call,18.3.10 11:53,18.3.10 11:55,FL,Customer 170,MacBook Pro,Referred to Servicer,Karen
Case 197,Inbound Call,19.3.10 14:37,19.3.10 14:39,FL,Customer 3,MacBook Pro,Product Assistance,Ton
Case 198,Inbound Call,11.3.10 13:46,11.3.10 13:46,BL,Customer 171,iPhone,Referred to Servicer,Steve
Case 199,Inbound Call,29.3.10 14:16,29.3.10 14:17,FL,Customer 172,iPhone,Referred to Servicer,Monique
Case 200,Inbound Call,21.3.10 15:35,21.3.10 15:37,BL,Customer 3,MacBook Pro,Product Assistance,Steve
Case 201,Inbound Call,2.3.10 11:06,2.3.10 11:07,FL,Customer 173,iPhone,Product Assistance,Maja
Case 202,Inbound Call,14.3.10 8:42,14.3.10 8:43,FL,Customer 3,MacBook Pro,Product Assistance,Johan
Case 203,Inbound Call,25.3.10 17:14,25.3.10 17:16,BL,Customer 3,iPhone,Product Assistance,Steve
Case 204,Inbound Call,21.3.10 7:58,21.3.10 7:59,FL,Customer 3,iPhone,Product Assistance,Susi
Case 205,Inbound Call,26.3.10 11:41,26.3.10 11:42,FL,Customer 174,MacBook Pro,Referred to Servicer,Wil
Case 205,Inbound Call,26.3.10 16:44,26.3.10 16:45,FL,Customer 174,MacBook Pro,Referred to Servicer,Clark
Case 206,Inbound Call,21.3.10 12:05,21.3.10 12:06,FL,Customer 175,iPhone,Referred to Servicer,Michael
Case 207,Inbound Call,6.3.10 12:37,6.3.10 12:39,FL,Customer 3,MacBook Pro,Product Assistance,Irena
Case 208,Inbound Call,6.3.10 10:25,6.3.10 10:26,FL,Customer 176,iPhone,Referred to Servicer,Henk
Case 210,Inbound Call,25.3.10 15:39,25.3.10 15:43,FL,Customer 178,MacBook Pro,Referred to Servicer,Clark
Case 211,Inbound Call,8.3.10 10:20,8.3.10 10:31,FL,Customer 179,MacBook Pro,Referred to Servicer,Erik
Case 211,Inbound Call,28.3.10 10:00,28.3.10 10:18,FL,Customer 179,MacBook Pro,Referred to Servicer,Samuil
Case 212,Inbound Call,5.3.10 7:34,5.3.10 7:36,FL,Customer 3,iPhone,Product Assistance,Maja
Case 213,Inbound Call,6.3.10 12:04,6.3.10 12:06,FL,Customer 180,MacBook Pro,Referred to Servicer,Irena
Case 214,Inbound Call,7.3.10 14:17,7.3.10 14:19,FL,Customer 181,iPhone,Product Assistance,Monique
Case 215,Inbound Call,25.3.10 11:21,25.3.10 11:24,FL,Customer 182,iPhone,Referred to Servicer,Anne
Case 215,Inbound Call,25.4.10 8:58,25.4.10 8:59,FL,Customer 182,iPhone,Referred to Servicer,Henk
Case 216,Inbound Call,18.3.10 6:24,18.3.10 6:26,FL,Customer 3,MacBook Pro,Product Assistance,Samuil
Case 217,Inbound Call,22.3.10 16:13,22.3.10 16:18,FL,Customer 183,iPhone,Referred to Servicer,Harold
Case 217,Inbound Call,25.3.10 9:19,25.3.10 9:20,FL,Customer 183,iPhone,Referred to Servicer,Fred
Case 219,Inbound Call,12.3.10 10:20,12.3.10 10:22,FL,Customer 185,MacBook Pro,Referred to Servicer,Christian
Case 220,Inbound Call,4.3.10 12:02,4.3.10 12:05,FL,Customer 186,MacBook Pro,Product Assistance,Kenny
Case 221,Inbound Call,20.3.10 15:08,20.3.10 15:10,FL,Customer 187,MacBook Pro,Referred to Servicer,Wil
Case 222,Inbound Call,15.3.10 9:40,15.3.10 9:41,FL,Customer 188,iPhone,Referred to Servicer,Henk
Case 223,Inbound Call,20.3.10 8:31,20.3.10 8:43,FL,Customer 189,iPhone,Referred to Servicer,Susi
Case 225,Inbound Call,18.3.10 15:37,18.3.10 15:39,FL,Customer 191,iPhone,Referred to Servicer,Ton
Case 227,Inbound Call,7.3.10 16:05,7.3.10 16:06,FL,Customer 3,MacBook Pro,Product Assistance,Jochem
Case 228,Inbound Call,4.3.10 15:59,4.3.10 16:02,BL,Customer 193,iPhone,Referred to Servicer,Steve
Case 229,Inbound Call,20.3.10 10:24,20.3.10 10:24,FL,Customer 3,MacBook Pro,Product Assistance,Jochem
Case 230,Inbound Call,20.3.10 10:21,20.3.10 10:21,FL,Customer 194,iPhone,Referred to Servicer,Jochem
Case 231,Inbound Call,5.3.10 9:50,5.3.10 9:51,FL,Customer 195,iPhone,Product Assistance,Henk
Case 233,Inbound Call,27.3.10 15:49,27.3.10 15:49,FL,Customer 197,iPhone,Referred to Servicer,Mary
Case 234,Inbound Call,16.3.10 11:00,16.3.10 11:04,FL,Customer 198,iPhone,Referred to Servicer,Clark
Case 235,Inbound Call,14.3.10 16:22,14.3.10 16:23,FL,Customer 199,iPhone,Product Assistance,Karen
Case 236,Inbound Call,4.3.10 7:39,4.3.10 7:42,FL,Customer 200,iPhone,Referred to Servicer,Susi
Case 237,Inbound Call,12.3.10 16:12,12.3.10 16:32,FL,Customer 201,iPhone,Product Assistance,Ton
Case 237,Inbound Call,13.3.10 8:50,13.3.10 8:53,FL,Customer 201,iPhone,Product Assistance,Kenny
Case 238,Inbound Call,19.3.10 8:44,19.3.10 8:45,FL,Customer 3,MacBook Pro,Product Assistance,Helen
Case 239,Inbound Call,29.3.10 8:59,29.3.10 9:03,FL,Customer 3,MacBook Pro,Product Assistance,Samuil
Case 241,Inbound Call,7.3.10 15:56,7.3.10 15:56,FL,Customer 3,MacBook Pro,Product Assistance,Wil
Case 242,Inbound Call,13.3.10 8:48,13.3.10 9:07,FL,Customer 203,MacBook Pro,Referred to Servicer,Elena
Case 242,Inbound Call,13.3.10 9:07,13.3.10 9:08,FL,Customer 203,MacBook Pro,Referred to Servicer,Clark
Case 242,Inbound Call,13.3.10 10:51,13.3.10 10:53,FL,Customer 203,MacBook Pro,Referred to Servicer,Clark
Case 243,Inbound Call,19.3.10 10:22,19.3.10 10:26,FL,Customer 204,iPhone,Product Assistance,Susi
Case 244,Inbound Call,18.3.10 8:47,18.3.10 8:48,FL,Customer 205,iPhone,Referred to Servicer,Henk
Case 245,Inbound Call,6.3.10 11:40,6.3.10 11:43,FL,Customer 206,MacBook Pro,Referred to Servicer,Richard
Case 245,Inbound Call,6.3.10 15:55,6.3.10 16:01,FL,Customer 206,MacBook Pro,Referred to Servicer,Ton
Case 245,Inbound Call,8.3.10 10:19,8.3.10 10:20,FL,Customer 206,MacBook Pro,Referred to Servicer,Ton
