precio,tcons,recamaras,tterreno,numban,condicion
935000,1289.304,5,2956.8648000000003,4.5,3
595000,390.144,2,2590.8,1.75,3
270000,463.29600000000005,3,2417.0640000000003,2.25,3
410000,694.9440000000001,3,61207.192800000004,2.25,3
502000,569.976,3,2784.348,2.5,3
684000,926.5920000000001,4,2564.5872,3.5,3
350000,763.8288,4,2196.3888,2.5,3
732500,752.856,3,3145.8408,2.5,3
260000,298.704,2,395.0208,1.5,3
295000,551.688,4,1484.6808,2.5,3
517500,362.71200000000005,3,2133.6,1,3
595000,640.08,4,952.5,2.5,3
775000,932.6880000000001,4,2080.5648,2.5,3
505500,396.24,3,361.79760000000005,2.5,3
521900,640.08,3,3760.6224,2.5,3
659000,716.2800000000001,4,2843.4792,2,3
398500,859.5360000000001,4,2031.7968,2.5,3
192500,335.28000000000003,3,2971.8,1,4
730000,618.744,4,1243.584,2.5,4
325000,710.1840000000001,3,1508.76,2,3
420000,548.64,3,2987.04,2.25,4
435000,896.1120000000001,4,2313.4320000000002,2.5,3
370000,286.512,3,2410.9680000000003,1,4
263500,405.384,3,3022.7016000000003,1.75,3
537000,472.44,3,3063.2400000000002,1.75,5
710000,874.7760000000001,4,3445.4592000000002,2.5,3
509000,542.544,3,2839.212,2.25,3
299000,612.648,3,2458.212,1.75,4
120000,350.52000000000004,3,2720.0352000000003,1,3
800000,435.86400000000003,6,6284.976000000001,1,3
262000,475.488,4,2377.44,2.5,3
1075000,1225.296,3,132770.88,3,3
435000,768.096,4,2194.56,1.75,5
749700,694.9440000000001,3,23765.8656,1.75,3
550000,374.904,3,266.7,2.25,3
415000,414.528,3,22438.1568,1,3
1313000,908.3040000000001,6,2194.56,3,3
257500,627.888,4,1950.72,2,3
285000,240.792,2,1997.9640000000002,1,2
545000,509.016,3,1901.952,2.25,4
772500,524.256,4,1344.1680000000001,1,3
629950,512.0640000000001,3,512.9784000000001,2.5,3
335000,432.81600000000003,2,379.7808,2.25,3
850000,914.4000000000001,3,5623.56,2.25,3
556000,682.7520000000001,4,1646.5296,2.5,3
589000,728.472,4,17556.1752,2.25,3
430000,441.96000000000004,3,2229.9168,1.5,3
403000,426.72,3,2096.7192,1,3
750000,658.368,4,2903.2200000000003,2.25,3
410000,707.1360000000001,4,2286,1.75,3
1425000,1411.2240000000002,4,7331.6592,5,3
367000,688.8480000000001,3,28412.846400000002,2.5,4
300000,393.192,3,3784.092,1,3
204000,298.704,3,2438.4,1,4
500000,496.824,2,3675.5832,1,3
718000,1237.488,3,41541.192,1.75,3
330000,585.216,4,3669.7920000000004,3,3
376000,408.432,2,498.348,2,3
935000,524.256,3,609.6,2,3
453000,512.0640000000001,2,5303.52,1.5,3
622950,923.5440000000001,4,2329.8912,3.25,3
377000,569.976,3,1625.4984000000002,2.5,3
885000,731.52,4,1072.896,3.75,3
245000,609.6,5,2468.88,1.5,3
348000,316.992,3,555.9552,1.5,3
878000,1161.288,4,2355.4944,2.5,3
231500,304.8,2,2321.052,1,4
815000,850.392,3,16197.986400000002,2.5,4
230000,390.144,2,1412.748,1,3
426000,673.6080000000001,3,1752.6000000000001,2.5,3
630000,774.192,4,2653.5888,2.5,3
240000,384.048,3,2414.016,1,3
305000,618.744,4,2621.28,2.75,4
830000,877.8240000000001,5,1143,3.5,3
760000,429.76800000000003,3,4608.576,1.75,4
575000,606.552,3,2926.08,2.75,3
795000,783.336,4,4099.56,2.5,3
214946,393.192,3,2648.1024,1.75,4
1325000,1094.232,3,2560.32,2.5,3
654000,987.552,3,18544.032,2.5,3
2850000,1536.192,4,5244.9984,4,5
619000,899.1600000000001,5,893.6736000000001,3.5,3
405000,429.76800000000003,2,377.952,3,3
439950,661.416,3,4572,2.25,4
737000,701.0400000000001,3,2377.44,2.5,3
388598,722.3760000000001,3,1280.16,2.5,3
488000,615.696,5,1524,2,4
210000,490.728,3,2051.9136000000003,2.5,3
255000,627.888,5,2631.0336,2.25,3
246000,426.72,3,2258.568,1,3
985000,1289.304,4,11511.9912,2.25,3
575000,615.696,4,1889.76,1.75,4
947500,1002.792,4,3757.8792000000003,2.25,4
675000,914.4000000000001,4,1691.0304,2.5,3
749950,801.624,4,1145.1336000000001,3.5,3
1000000,1194.816,5,4955.4384,4.25,3
2100000,1082.04,4,6054.852,1.75,3
180000,304.8,3,5642.7624000000005,1,3
945000,865.6320000000001,4,4074.2616000000003,2,3
1610000,1338.0720000000001,4,3535.6800000000003,3.5,3
1050000,890.0160000000001,4,2194.56,2.5,3
399000,874.7760000000001,4,2832.2016000000003,2.5,3
685000,591.312,3,2229.0024000000003,1.75,4
300000,249.936,2,1171.6512,1,4
685000,704.0880000000001,4,1554.48,2.5,3
789000,1139.952,3,12082.272,3,3
802000,673.6080000000001,2,1928.4696000000001,2.5,3
710000,652.272,3,1500.5304,2,4
725000,737.616,4,3341.2176,2.75,3
809950,679.7040000000001,4,3017.52,2,5
341000,585.216,4,2336.292,1.75,4
428000,399.288,3,777.24,2,3
417500,423.672,4,3291.84,1,4
813000,1027.1760000000002,4,2034.5400000000002,2.75,4
527000,499.872,2,1243.584,1.75,3
342500,633.984,3,3467.1000000000004,2,3
370000,274.32,2,1402.0800000000002,1,3
357186,368.808,2,316.992,1.75,3
315000,527.304,3,1940.9664,2.5,3
458500,576.072,3,487.3752,2,3
650000,731.52,4,2240.5848,2.5,3
324950,445.00800000000004,3,2654.808,1.5,3
225500,484.632,2,3436.9248000000002,1.75,4
900000,1027.1760000000002,4,1524,3.5,3
288790,411.48,4,287.1216,2,3
329950,646.176,4,1389.2784000000001,2.5,3
230000,347.47200000000004,3,366.0648,1.75,3
613000,356.61600000000004,2,576.072,2,4
150000,149.352,3,11734.800000000001,0.75,4
840000,1170.432,4,26129.8944,3.5,3
637000,749.808,5,2206.752,3,3
968000,883.9200000000001,5,2986.7352,2.5,3
218450,256.03200000000004,2,2263.1400000000003,1,4
1095000,1344.1680000000001,5,17392.8024,3.5,4
597750,704.0880000000001,4,2933.3952,2.5,3
442500,853.44,6,3197.3520000000003,2.5,3
250000,445.00800000000004,3,3326.5872000000004,1,4
452000,810.768,6,4138.8792,2.25,3
1320000,1057.656,4,3609.7464,3.25,3
272500,469.392,3,1905,2,3
535000,481.584,4,1524,1.5,3
326989,627.888,3,1280.16,2.5,3
2546000,1277.112,4,2683.764,3,5
805000,920.4960000000001,4,1097.28,2.5,3
169000,478.536,3,1965.96,1.5,4
515000,795.528,3,1781.556,2.5,3
390000,283.464,2,944.88,1,3
446450,451.10400000000004,3,2361.8952,1.5,5
900000,1203.96,4,3113.2272000000003,2.75,3
360500,1005.84,3,3512.82,2.5,5
833000,1085.088,4,2187.8544,3.5,3
327000,454.15200000000004,2,495.9096,2,3
505000,457.20000000000005,3,762,2,3
993500,1240.536,4,7108.2408000000005,2.25,4
264000,554.736,3,3233.3184,1.5,4
290000,399.288,3,2468.88,1.5,3
550000,655.32,5,79928.00880000001,1,3
1250000,1167.384,4,12576.9624,3.75,4
710000,573.024,3,914.4000000000001,2,4
420000,283.464,2,1636.1664,1,4
585000,947.928,4,1974.7992000000002,2.5,3
275000,594.36,3,2322.576,1.5,4
1029000,1152.144,4,3413.76,3.25,3
583500,524.256,3,2377.44,1.75,4
425000,496.824,3,3200.4,2.25,3
285000,576.072,3,1106.1192,2.5,3
536500,524.256,4,1071.372,2.5,3
830000,1164.336,3,44212.459200000005,3.5,3
289000,600.456,3,6853.732800000001,1.5,4
535000,670.5600000000001,4,33723.6816,2.5,5
510000,490.728,3,3642.36,1.75,3
498000,719.3280000000001,3,838.2,3,3
306000,603.504,3,2987.04,1.75,3
367899,737.616,3,1440.18,2.5,3
230000,496.824,3,2019.3000000000002,1.5,5
297000,679.7040000000001,4,1509.3696,2.5,3
507000,509.016,2,1969.008,1.75,3
381000,822.96,3,5561.3808,1.75,4
246000,426.72,4,2326.2336,2,5
1495000,935.7360000000001,4,3162.3,3.25,3
310000,954.024,3,2835.2496,3.25,3
289950,630.936,3,1872.996,2.5,3
538000,563.88,2,932.6880000000001,1.75,3
289000,353.56800000000004,2,657.7584,1.5,3
940000,853.44,4,5691.530400000001,2.25,5
349170,509.016,4,2699.3088000000002,1.75,3
308625,457.20000000000005,2,429.15840000000003,2,3
185000,307.848,3,2363.724,1.5,3
425000,664.464,5,2400.3,2.5,4
663000,582.168,3,1562.1000000000001,2.5,3
465000,841.248,3,2784.9576,1.75,3
431650,521.208,5,2346.96,2.5,3
229950,353.56800000000004,2,563.2704,1.5,3
400950,785.7744,4,1388.0592000000001,2.5,3
342000,365.76,3,867.1560000000001,2.25,3
360000,585.216,4,2378.3544,2,3
275000,384.048,3,453.54240000000004,2.25,3
891500,941.832,3,6335.268,2.5,4
249000,332.232,3,3138.2208,1,4
740000,701.0400000000001,4,3017.52,2.5,3
1900000,1548.384,4,8459.724,3.25,3
560000,545.592,4,2983.0776,2.5,4
229000,554.736,4,6953.707200000001,1.5,3
238000,414.528,3,2282.3424,1.5,4
375000,640.08,5,4528.718400000001,2.5,5
780000,1005.84,6,1743.4560000000001,4,3
725000,304.8,3,6086.5512,1,3
235000,332.232,3,2560.32,2,4
275000,758.952,4,2204.6184000000003,2.25,3
450000,316.992,2,419.7096,2.25,3
400000,320.04,2,357.53040000000004,2,3
480000,896.1120000000001,6,1540.4592,3.75,3
225900,460.24800000000005,3,2682.2400000000002,1,4
360500,295.656,3,1883.664,1,3
270000,527.304,4,2592.324,1.5,4
439950,524.256,3,68085.30960000001,1.75,3
285000,649.224,4,2484.4248000000002,1.75,4
267000,609.6,4,2240.28,1.75,3
394950,396.24,2,641.2992,2.25,3
430000,475.488,4,1991.5632,1.5,4
395000,496.824,3,4632.96,2.5,3
472500,545.592,3,2072.6400000000003,2,4
361550,353.56800000000004,3,78600.3,1.75,2
285000,569.976,4,6727.5456,1.75,3
260000,445.00800000000004,3,3048,1.75,4
315000,661.416,3,2584.704,2.25,3
287000,521.208,3,3151.9368,2.5,3
1400000,1261.872,5,9966.960000000001,3.25,3
390500,466.34400000000005,3,389.8392,2.25,3
280000,484.632,3,2218.944,1.75,3
721500,905.2560000000001,3,71563.3824,3.25,3
450000,579.12,4,2816.3520000000003,2.5,3
800000,993.648,4,1524,2.75,3
288349,381,3,5674.156800000001,1,4
805000,576.072,4,1371.6000000000001,2,3
515000,563.88,4,2818.7904000000003,2.5,3
517100,481.584,3,2962.3512,1.75,5
426000,420.624,3,2194.56,1.5,3
420250,460.24800000000005,3,1114.6536,2,3
544800,972.312,5,1785.2136,2.75,3
333760,396.24,3,1792.2240000000002,1,3
754000,716.2800000000001,5,2377.44,1.75,4
510000,557.784,3,2478.9384,2.5,3
550000,298.704,3,3340.608,1,4
362000,499.872,3,4381.1952,2.25,4
234000,454.15200000000004,3,2549.9568,1.75,4
209950,420.624,3,3392.424,1.5,3
230000,289.56,3,1828.8000000000002,1.75,3
660000,777.24,4,3048,2.5,3
255000,630.936,4,2377.44,2.5,3
344500,548.64,4,1662.0744000000002,2.75,3
300000,621.792,6,3295.4976,2,4
499950,463.29600000000005,3,672.9984000000001,2.5,3
739000,829.056,4,1158.24,3,5
555000,664.464,3,1516.6848,2,4
680000,783.336,3,1097.28,2.5,3
500000,469.392,3,3291.84,1.75,5
535000,795.528,4,1400.556,2.5,3
359950,591.312,3,3539.3376000000003,2.25,4
397000,707.1360000000001,4,3571.3416,2.5,3
320000,576.072,4,13277.088000000002,1.5,4
346000,387.096,3,2468.88,1.75,3
239950,374.904,3,2926.08,1.75,4
385000,822.96,4,11280.952800000001,2.75,3
460000,527.304,3,2587.752,2.5,3
370000,478.536,3,5125.8216,1.75,3
650000,582.168,3,1329.8424,2.5,3
445000,740.664,4,4026.7128000000002,1.75,4
519000,499.872,4,1921.7640000000001,1,5
299000,527.304,3,4349.496,1.75,3
1160000,725.4240000000001,3,1698.3456,2.75,3
410000,310.896,3,2104.0344,1,3
790000,780.288,2,299398.3344,3,3
424000,435.86400000000003,3,2078.1264,1.75,5
550000,496.824,3,1831.5432,1,4
855000,856.488,4,15868.4976,2.5,4
304999,691.8960000000001,4,2926.08,2.25,3
1400000,1152.144,4,1572.768,2.25,4
285167,670.5600000000001,3,2552.7000000000003,2.25,3
657000,771.144,5,3105.9120000000003,2.5,4
545000,728.472,4,12347.448,2.25,4
650000,883.9200000000001,4,4735.068,3,4
235000,490.728,4,7315.200000000001,1,3
375000,496.824,3,4928.616,1.5,3
299950,542.544,3,1417.3200000000002,2.5,3
340000,533.4,5,2505.456,2,3
365000,438.91200000000003,2,4572,2,3
425000,755.904,4,1372.8192000000001,2.5,3
625000,505.968,3,1463.04,1.75,3
270000,579.12,4,2524.3536,2.5,3
815000,926.5920000000001,4,1221.0288,3.5,3
272000,548.64,4,1693.164,2.25,3
286900,524.256,3,5253.228,2.25,4
299950,429.76800000000003,3,24695.200800000002,1,3
265000,441.96000000000004,3,4096.2072,2.25,4
632000,1072.896,5,11142.878400000001,3,4
1160000,1307.592,5,2139.3912,3.25,4
530000,917.4480000000001,4,2743.2000000000003,2.5,3
284000,262.128,2,2195.7792,1,3
611900,371.856,1,640.08,2.25,4
355000,377.952,3,4836.2616,1.5,3
357000,484.632,3,2057.4,1.5,3
835000,1228.344,4,3121.152,2.75,3
780000,672.3888000000001,3,25003.0488,2.25,3
541338,627.888,3,2475.8904,2.5,3
650000,591.312,3,3122.676,1.75,3
395000,365.76,2,1833.0672000000002,1,4
202500,469.392,3,2534.7168,2,5
600000,701.0400000000001,3,3865.4736000000003,1.75,3
530000,280.416,3,6221.5776000000005,0.75,5
332000,752.856,4,2371.344,2.5,3
560000,594.36,4,1887.3216,2.75,3
272000,204.216,2,1920.24,1,4
303500,1033.2720000000002,6,2194.56,4.5,3
500000,591.312,4,2318.6136,2.5,3
473975,710.1840000000001,3,1100.328,2.5,3
805000,1011.936,5,2214.6768,2.5,3
253000,438.91200000000003,3,2988.8688,2.25,3
359950,545.592,3,2198.2176,2,4
321027,859.5360000000001,4,5111.496,2.25,4
275000,826.008,3,1747.4184,2.5,3
641000,451.10400000000004,3,2926.9944,1.75,3
446500,932.6880000000001,4,2414.016,2.5,3
522500,670.5600000000001,4,37308.4344,2.75,3
205500,405.384,3,2666.3904,2,3
404000,432.81600000000003,3,2487.168,1,3
512000,490.728,3,3826.764,1.75,3
605000,509.016,4,1828.8000000000002,2.75,5
375000,539.496,3,1568.5008,2.5,3
525000,512.0640000000001,4,3200.4,1.5,3
1700000,1240.536,4,102499.05840000001,3.5,3
435010,387.096,3,1219.2,1,3
220000,237.744,2,1828.8000000000002,1,5
835000,1085.088,6,1560.576,2,3
280000,487.68,4,2091.2328,2,3
554500,573.024,3,2001.0120000000002,2.25,4
223990,323.3928,2,879.0432000000001,2.25,3
245000,466.34400000000005,3,2590.8,2.5,5
565500,542.544,3,1783.0800000000002,1.75,5
560000,417.576,3,363.62640000000005,2.75,3
545000,512.0640000000001,5,2215.2864,4,3
485000,502.92,3,1047.2928,2.5,3
475000,563.88,3,8060.436000000001,1.75,4
785000,1048.512,4,17127.3216,2.5,3
419000,972.312,4,1517.904,2.5,3
470500,762,5,2818.7904000000003,2.5,3
222000,472.44,2,11719.255200000001,1,3
635000,798.576,5,1676.4,2.75,3
240000,313.944,3,4652.4672,1,4
515000,582.168,4,2727.0456,2.5,4
465000,283.464,3,1020.4704,1,4
454450,856.488,4,1828.8000000000002,3,3
370000,455.98080000000004,3,433.73040000000003,1.75,3
792000,1011.936,3,3913.632,2.5,3
285000,670.5600000000001,4,2864.2056000000002,2.5,3
378000,320.04,3,17525.695200000002,1.5,3
519000,475.488,2,1470.0504,2,3
325000,412.0896,3,516.3312000000001,2.25,3
950000,1011.936,4,2329.8912,2.5,3
507500,615.696,3,2474.3664000000003,2,3
1600000,1155.192,3,5791.200000000001,3.25,3
355000,551.688,4,1514.856,2.25,3
3100000,2127.504,6,4779.8736,4.25,4
602500,841.248,4,2087.88,2.5,3
1280000,917.4480000000001,4,1097.28,3.5,3
835000,694.9440000000001,2,2077.212,2,3
445434,448.05600000000004,2,2175.3576000000003,1,3
329950,748.5888,3,2306.1168000000002,2.5,3
524000,341.37600000000003,2,609.6,1,3
343566,335.28000000000003,2,1280.16,1,3
519000,615.696,3,3274.7712,2.75,5
664950,972.312,5,2158.2888000000003,3,3
275000,301.752,3,2986.4304,1,3
300000,542.544,3,3168.396,2.25,3
1620000,1188.72,4,2971.8,3,5
202000,179.83200000000002,1,253.8984,1,4
1465000,1289.304,6,1956.816,4.5,4
725000,594.36,2,828.7512,1.75,5
545000,627.888,3,2189.6832,2.5,3
370000,649.224,4,1447.8000000000002,2.5,3
360000,652.272,4,15135.7584,1.75,5
865000,972.312,5,2487.168,2.5,3
215000,490.728,4,2941.9296,1.75,5
1480000,1194.816,4,2194.56,2.25,3
339000,350.52000000000004,3,4047.1344000000004,1.75,5
450000,606.552,3,3921.5568000000003,2.5,4
299000,484.632,3,951.2808,2.5,3
670000,920.4960000000001,4,4123.944,2.75,4
420000,822.96,3,14340.84,3,4
450000,746.76,3,6017.9712,2.5,3
550000,627.888,4,2962.3512,2.5,4
295450,618.744,3,5218.176,2,4
269000,402.336,3,800.1,1.5,3
598600,1057.656,4,64812.3672,2.75,3
475000,515.1120000000001,3,880.8720000000001,2.5,3
286000,554.736,4,2417.0640000000003,2.5,5
875000,868.6800000000001,4,1345.9968000000001,3.5,3
412000,316.992,2,1560.576,1,3
705000,862.5840000000001,6,3224.4792,2.75,4
185000,356.61600000000004,3,2769.108,1.75,3
857500,621.792,3,1207.008,1.5,5
550000,329.184,2,1042.416,1,4
250000,271.272,2,1944.624,1,3
850000,798.576,3,3397.9104,3.5,4
352500,304.8,3,1271.3208,1,3
225000,417.576,3,3311.9568000000004,1.75,4
247200,582.168,3,3225.6984,1.5,4
490000,301.752,2,1524,1,3
840000,926.5920000000001,4,4132.7832,2.75,3
538000,539.496,3,2453.6400000000003,1.75,4
325000,353.56800000000004,3,2903.2200000000003,1,4
378500,518.1600000000001,4,2633.472,1.75,3
315000,633.984,2,4468.0632000000005,1,3
549950,725.4240000000001,3,762,2.5,3
640000,688.8480000000001,4,1576.4256,2.5,3
435000,606.552,4,2605.4304,2.25,3
753000,932.6880000000001,4,2489.3016000000002,2.5,3
275000,493.776,3,1955.2920000000001,2.25,4
625000,810.768,4,6764.7312,2.25,4
465000,777.24,5,1952.2440000000001,2.5,3
480000,347.47200000000004,2,3657.6000000000004,2,3
329000,341.37600000000003,4,1171.6512,1,3
240000,484.632,3,2417.3688,1.75,3
146000,274.32,3,1453.8960000000002,1,3
500000,679.7040000000001,4,8226.2472,2.5,4
200000,374.904,3,1335.0240000000001,1,3
769000,1011.936,5,4004.4624000000003,2.25,4
719000,548.64,3,1772.7168000000001,1.75,5
140000,332.232,3,3236.976,1,3
429950,518.1600000000001,4,3118.1040000000003,1.75,3
225000,201.168,3,2011.68,1,4
370000,393.192,3,3083.6616000000004,1.75,3
343000,753.7704,5,2829.1536,3.5,5
420000,697.9920000000001,6,1933.6512,3,3
410000,573.024,3,2567.6352,1.75,4
435000,542.544,4,818.0832,2.25,3
183750,539.496,3,1051.8648,2.5,3
247500,597.408,3,4779.5688,1.75,3
669000,475.488,3,1371.6000000000001,1,5
242000,457.20000000000005,3,2304.288,1.75,3
292000,487.68,3,1091.184,2.5,3
298000,597.408,4,3596.0304,2.5,3
638500,603.504,4,2001.9264,2.5,3
245000,615.696,5,2408.5296000000003,1.75,3
289000,332.232,3,2229.612,1,5
495000,533.4,3,471.8304,2.5,3
280000,566.928,3,2013.8136000000002,2.5,3
542525,807.72,4,1706.88,2.5,3
921000,676.6560000000001,4,2894.3808000000004,1.5,4
1325000,1347.2160000000001,4,5037.1248000000005,4,3
554000,341.37600000000003,4,2165.2992,1,3
545000,618.744,4,3531.108,2.25,4
405000,262.128,2,792.1752,1,4
538250,789.432,3,4641.7992,2.25,3
170000,585.216,4,2286,1.75,4
183000,265.176,3,1584.96,1,5
305000,685.8000000000001,4,2770.9368,2.5,3
375950,451.10400000000004,3,2304.288,1.75,3
385000,502.92,3,2377.44,2.25,3
395825,484.632,2,511.7592,2.5,3
330000,530.352,3,562.0512,2.5,3
257000,234.696,2,2894.6856000000002,1,3
425000,295.656,2,905.2560000000001,1,3
525000,576.072,4,2605.7352,2.25,3
444000,445.00800000000004,3,795.528,2,3
283000,649.224,4,2609.088,2.75,3
215000,393.192,3,2838.2976000000003,2,3
650000,804.672,4,2503.9320000000002,1.75,4
565000,694.9440000000001,4,2964.1800000000003,2.5,3
271115,252.984,2,403.86,1.5,3
1040000,1316.736,4,2587.752,3.5,3
500000,466.34400000000005,3,2691.0792,1.75,5
410000,676.6560000000001,4,2575.56,2.75,4
321500,798.576,4,1663.2936000000002,2.5,3
695000,728.472,4,1792.2240000000002,1.75,3
274900,560.832,4,3208.9344,1.75,3
